nodes,distance
"[9907061277, 9907061276]",12.005946
"[9907061276, 9907061275]",5.136911
"[9907061276, 9907061275]",4.40105
"[9907061276, 9907061275]",3.355898
"[9907061276, 9907061275]",1.574963
"[9907061276, 9907061275]",7.241751
"[9907061276, 9907061275]",6.814856
"[9907061276, 9907061275]",6.402792
"[9907061276, 9907061275]",5.666797
"[9907061276, 9907061275]",5.847723
"[9907061275, 9907061274]",5.358033
"[9907061275, 9907061274]",5.255193
"[9907061275, 9907061274]",5.033847
"[9907061275, 9907061274]",5.136911
"[9907061275, 9907061274]",5.358033
"[9907061275, 9907061274]",6.094079
"[9907061275, 9907061274]",5.460915
"[9907061275, 9907061274]",5.033847
"[9907061275, 9907061274]",4.51914
"[9907061275, 9907061274]",2.516924
"[9907061275, 9907061274]",2.944227
"[9907061275, 9907061274]",3.149927
"[9907061274, 9907061273]",4.078348
"[9907061274, 9907061273]",5.093781
"[9907061274, 9907061273]",5.197735
"[9907061274, 9907061273]",5.093781
"[9907061274, 9907061273]",4.885871
"[9907061274, 9907061273]",4.885871
"[9907061274, 9907061273]",4.885871
"[9907061274, 9907061273]",5.197735
"[9907061274, 9907061273]",5.405645
"[9907061274, 9907061273]",5.593965
"[9907061273, 9907061272]",5.985627
"[9907061273, 9907061272]",5.953802
"[9907061273, 9907061272]",5.854045
"[9907061273, 9907061272]",6.085003
"[9907061273, 9907061272]",5.423915
"[9907061273, 9907061272]",4.563752
"[9907061273, 9907061272]",3.472573
"[9907061272, 9907061271]",3.434731
"[9907061272, 9907061271]",3.434731
"[9907061272, 9907061271]",3.059593
"[9907061341, 9907061271]",2.81699
"[9907061341, 9907061271]",0.696048
"[9907061341, 9907061271]",0.0
"[9907061341, 9907061271]",0.696048
"[9907061341, 9907061271]",2.121516
"[9907061341, 9907061271]",2.81699
"[9907061341, 9907061271]",3.651745
"[9907061341, 9907061271]",4.38309
"[9907061341, 9907061271]",5.321842
"[9907061341, 9907061271]",6.120939
"[9907061269, 9907061268]",5.320153
"[9907061269, 9907061268]",4.067816
"[9907061269, 9907061268]",3.230194
"[9907061269, 9907061268]",2.194249
"[9907061269, 9907061268]",2.608283
"[9907061269, 9907061268]",2.401189
"[9907061269, 9907061268]",2.194249
"[9907061269, 9907061268]",1.874457
"[9907061269, 9907061268]",1.770695
"[9907061269, 9907061268]",0.207909
"[9907061268, 9907061267]",1.148849
"[9907061268, 9907061267]",1.563246
"[9907061268, 9907061267]",1.97824
"[9907061268, 9907061267]",2.185854
