nodes,distance
"[6668066147, 103010886]",27.66114
"[6668066147, 103010886]",10.801186
"[6668066147, 103010886]",1.418673
"[6668066147, 103010886]",7.136578
"[6668066147, 103010886]",11.045142
"[6668066147, 103010886]",13.098714
"[6668066147, 103010886]",16.910894
"[6668066147, 103010886]",19.157451
"[6668066147, 103010886]",24.092973
"[321989159, 6648206004]",21.4497
"[321989159, 6648206004]",17.198871
"[321989159, 6648206004]",8.941701
"[321989159, 6648206004]",4.495316
"[321989159, 6648206004]",22.720092
"[321989159, 6648206004]",26.238051
"[6648206005, 103012142]",30.326491
"[6648206005, 103012142]",30.091945
"[6581795464, 6581795465]",28.203909
"[6581795464, 6581795465]",27.923899
"[6648206005, 103012142]",29.004947
"[6648206005, 103012142]",28.631602
"[6648206005, 103012142]",28.866157
"[6648206005, 103012142]",29.761527
"[309601031, 103012142]",22.724305
"[309601031, 103012142]",5.717533
"[309601031, 103012142]",0.244612
"[309601031, 103012142]",1.368265
"[309601031, 103012142]",3.225508
"[309601031, 103012142]",15.784336
"[309601031, 103012142]",17.787443
"[309601031, 103012142]",23.359096
"[6658834906, 84783146]",20.967882
"[6658834910, 6658834908]",18.514548
"[6658834910, 6658834908]",18.388906
"[6658834910, 6658834908]",20.078567
"[6658834910, 6658834908]",18.260457
"[6658834910, 6658834908]",16.699255
"[6658834910, 6658834908]",19.169478
"[6658834910, 6658834908]",20.859163
"[6658834910, 6658834908]",23.240581
"[309601017, 6658834912]",22.682804
"[309601017, 6658834912]",20.986691
"[309601017, 6658834912]",8.051162
"[309601017, 6658834912]",2.962902
"[309601017, 6658834912]",0.207909
"[309601017, 6658834912]",6.580693
"[3565070816, 6658834909]",14.843098
"[3565070816, 6658834909]",13.841554
"[3565070816, 6658834909]",11.60565
"[3565070816, 6658834909]",5.802825
"[3565070816, 6658834909]",3.799921
"[3565070816, 84782085]",4.140429
"[3565070816, 84782085]",11.668824
"[3565070816, 84782085]",12.280087
"[3565070816, 84782085]",13.738924
"[3565070816, 84782085]",19.384704
"[3565070816, 84782085]",20.278852
"[3565070816, 84782085]",22.11381
"[3565070816, 84782085]",20.890255
"[3565070816, 84782085]",19.055297
"[6677416189, 84782085]",17.053684
"[6677416189, 84782085]",12.484848
"[6677416189, 84782085]",3.347285
"[6677416189, 84782085]",2.223977
"[6677416189, 84782085]",6.352394
"[6677416189, 84782085]",8.807801
"[6677416189, 84782085]",13.596561
"[6677416187, 6677416188]",17.021368
"[6677416187, 6677416188]",14.160755
"[6677416187, 6677416188]",7.192681
"[6677416187, 6677416188]",0.207909
"[6677416187, 6677416188]",0.430305
"[6659194063, 6677416187]",1.900433
"[6659194063, 6677416187]",2.962902
"[6659194063, 6677416187]",6.232449
"[6659194063, 6677416187]",7.704109
"[6659194063, 6677416187]",12.464898
"[6659194063, 6677416187]",25.236761
"[11971478463, 6659194067]",33.979275
"[6689475848, 5698813075]",26.912327
"[6689475848, 5698813075]",19.290579
"[6689475848, 5698813075]",11.87279
"[6689475848, 5698813075]",2.860844
"[6689475848, 5698813075]",1.266955
"[6689475848, 5698813075]",1.79817
"[6689475848, 5698813075]",2.329485
"[6689475848, 5698813075]",3.494227
"[6689475848, 5698813075]",4.12764
"[6689475848, 5698813075]",6.45712
"[6689475848, 5698813075]",1.900433
"[6689475848, 5698813075]",0.86061
"[6689475848, 103013298]",1.266955
"[103013120, 6659196482]",0.454885
"[6689479752, 6659196481]",0.736057
"[6689479752, 6659196481]",0.330933
"[6689479752, 6659196481]",2.533911
"[6689479752, 6689479750]",0.781924
"[6689509687, 6689479752]",4.229791
"[6689509687, 6689509686]",0.802387
"[6689509687, 6689509686]",0.802387
"[6689547102, 6689509685]",8.255279
"[6689547102, 6689509685]",9.215901
"[6689547102, 6689509685]",11.647424
"[6689547102, 6689509685]",11.87279
"[6689547102, 6689547101]",4.614742
"[6689518452, 5701018507]",16.63369
"[6689518452, 5701018507]",13.998377
"[6689518452, 5701018507]",7.949177
"[6689518452, 5701018507]",7.949177
"[6689518452, 5701018507]",5.292379
"[6689518452, 5701018507]",6.355061
"[6689518452, 6689518450]",8.051162
