nodes,distance
"[2326695566, 6641469031]",1.660678
"[10822306500, 2326695616]",1.266955
"[2326695616, 2326695589]",1.927489
"[10838684848, 311718167]",0.0
"[10822306476, 10822306477]",1.257128
"[6572612978, 6572612977]",1.474698
"[6639180694, 311718144]",1.612754
"[6639180694, 311718144]",0.489224
"[6639180694, 311718144]",0.489224
"[10822306498, 2326695571]",0.727683
"[311718132, 2326695571]",0.90977
"[10822306484, 10822306485]",0.774983
"[10822306484, 10822306485]",0.774983
"[10821051708, 311718127]",0.994804
"[10814698191, 10814698190]",0.692339
"[311718121, 2326695564]",1.332604
"[10822306502, 2326695608]",1.322442
"[10822306496, 10822306495]",0.911204
"[3795372699, 311928726]",1.877994
"[3795372695, 10829795561]",4.483539
"[10829795561, 311718115]",1.257128
"[10814788618, 10814774768]",2.053894
"[10814788618, 10814774768]",2.053894
"[10814774767, 10814774766]",1.927489
"[3795372741, 311718103]",1.22226
"[10814774762, 10814774761]",1.368265
"[10814774761, 10814774760]",0.733836
"[10814774761, 10814774760]",0.391842
"[311718059, 3795372730]",0.733836
"[10814700115, 10814700114]",1.175527
"[10814700120, 10814700119]",0.303735
"[10814700120, 10814700119]",0.303735
"[10814700121, 10814805290]",0.244612
"[10814700121, 10814805290]",0.391842
"[3795372743, 311718033]",1.22226
"[11482176348, 6606241182]",0.774983
"[311718012, 2371534391]",0.802387
"[10814700127, 10814700128]",0.244612
"[10814700130, 10814700131]",2.274426
"[6606142420, 6439593966]",1.813112
"[10814700172, 10814700135]",0.938997
"[10814700173, 10814700172]",1.182632
"[10814700173, 10814700172]",0.489224
"[10814700175, 10814700174]",1.364656
"[10814700178, 10814700177]",2.214238
"[10814700178, 10814700177]",2.214238
"[311928693, 311717989]",0.563236
"[6572623789, 311928687]",0.454885
"[10814700184, 10814700185]",0.348024
"[10814700185, 10814700186]",1.74012
"[6606011242, 6606011241]",0.838975
"[10821542003, 5721492738]",2.711957
"[10821542003, 5721492738]",4.233193
"[10821542003, 6597273197]",1.530235
"[6597273198, 6597273197]",3.280511
"[10814700188, 10814700187]",0.733836
"[6597334309, 317129448]",0.244612
"[6597334309, 317129448]",0.244612
"[6597334309, 317129448]",0.348024
"[317129446, 6603931145]",0.244612
"[6572623860, 6603931147]",0.843458
"[6603931149, 311717949]",0.799898
"[6603931146, 311717943]",0.330933
"[6597334324, 6603931150]",0.564972
"[6597334323, 6603931152]",0.727683
"[6597334322, 311717930]",1.32373
"[6597334322, 311717930]",1.32373
"[311717923, 311717930]",0.799898
"[6597334319, 6597334320]",0.311864
"[6603931158, 6413634453]",0.430305
"[6603931160, 6603931159]",0.103955
"[8344386315, 1710904752]",0.382476
"[311717921, 317129409]",0.330933
"[311717921, 317129409]",0.470977
"[8299506582, 8299506581]",0.244599
"[8299506581, 6413634455]",0.661669
"[8299506593, 311717876]",0.860342
"[6603931176, 6603931175]",0.531264
"[6603931179, 318255953]",0.838699
"[6603931179, 318255953]",0.838699
"[6603931181, 6603931180]",0.235488
"[6603967597, 5821768276]",0.616684
"[7132399309, 311717869]",0.799678
"[311717869, 318255544]",0.430171
"[311717869, 318255544]",0.330835
"[6603521325, 6603521324]",0.759221
"[6603521326, 318255547]",1.56852
"[318255548, 6413600801]",1.530184
"[318255548, 6413600801]",1.530184
"[318255548, 6413600801]",1.530184
"[6413600802, 6603521332]",0.553563
"[8299506681, 317129413]",1.217838
"[6603521337, 6603521338]",51.83297
"[6603521337, 6603521338]",87.853816
"[8299506681, 317129413]",108.500086
"[6600854681, 317129412]",119.469182
"[6600854681, 317129412]",119.469182
"[6600854681, 317129412]",121.269404
"[6600854681, 317129412]",121.269404
