nodes,distance
"[6646847594, 75617751]",0.661865
"[6646847594, 75617751]",1.620986
"[8178544878, 6646847595]",0.207909
"[8184606178, 8178544878]",1.74012
"[8184606178, 8178544878]",1.74012
"[8184606184, 8184606178]",1.150205
"[8184606184, 8184606178]",0.802387
"[8184606184, 6646826309]",0.330933
"[8184202960, 75618029]",0.330933
"[8184202955, 8184202945]",0.90977
"[8184202955, 8184202945]",0.90977
"[8184606234, 8184202955]",2.678738
"[8184606234, 8184202955]",2.678738
"[8184606234, 6662487543]",0.103955
"[11163896862, 4902374736]",1.594301
"[11163896862, 4902374736]",1.594301
"[11163896862, 4902374736]",1.594301
"[4902374737, 5843520138]",3.343491
"[5843520139, 7207512440]",4.070764
"[6648055354, 10142649429]",4.641735
"[10142649429, 993037624]",3.118978
"[10142649427, 993037624]",0.999024
"[10142649478, 6685436139]",1.017867
"[10142649479, 10142649478]",1.72122
"[6647111311, 993037677]",1.660678
"[6647111311, 317968648]",0.110712
"[2302089256, 445371197]",0.90977
"[6647207216, 445371197]",0.802387
"[6647207216, 445371197]",2.194051
"[6600251027, 6600251026]",0.774983
"[6600251026, 6600251025]",1.322442
"[6600251026, 6600251025]",1.322442
"[6600251026, 6600251025]",1.850488
"[10142638778, 438042806]",1.214879
"[10142638770, 10142638769]",2.783333
"[10118488798, 7821910476]",6.153109
"[2218334192, 2218334189]",3.738385
"[2218334192, 2218334189]",3.738385
"[10142638756, 10142638755]",2.281876
"[10142638756, 10142638755]",2.281876
"[10142638747, 10118488783]",3.494227
"[10142638747, 10118488783]",3.494227
"[10142638729, 10118488792]",0.430305
"[10118488793, 5704543862]",0.531434
"[10118488794, 5707599790]",0.235549
"[10142638686, 10142638684]",1.472655
"[10142638687, 10142626199]",3.333912
"[10142626202, 10142626201]",2.783333
"[10142638687, 10142626199]",3.333912
"[10139319557, 442601282]",0.454885
"[10139319557, 442601282]",0.454885
"[10139319542, 442601283]",1.001815
"[6689701337, 445371170]",0.696048
"[6689701337, 5707599771]",0.454885
"[6689572371, 5707599788]",0.110712
"[6689572373, 102987961]",1.062867
"[6689572375, 102987961]",0.110712
"[10142034363, 6689572375]",0.430305
"[10139319599, 8189781578]",4.654678
"[10139319599, 8189781578]",4.654678
"[10142034363, 6689572375]",0.430305
"[6689572375, 5707599805]",0.244612
"[6689572375, 5707599805]",0.244612
"[8189781513, 6689572377]",0.0
"[8189781509, 6689701341]",0.235549
"[6689701341, 102989712]",0.802387
"[8189781475, 6689701342]",0.531434
"[8189781473, 6662352883]",0.103955
"[8189781473, 6662352883]",0.103955
"[6662355785, 98010926]",0.244612
"[6662355785, 6662719078]",1.498118
"[6662289397, 98010335]",0.0
"[8184202904, 6662289397]",0.330933
"[8184202904, 6662289397]",0.330933
"[6662289397, 98010335]",0.0
"[6662289398, 98010335]",0.0
"[8178544921, 6662289399]",0.103955
"[8178544953, 4023430929]",0.430305
"[6662289401, 4023430929]",0.110712
"[6662289401, 4023430929]",0.110712
"[6662289401, 98014765]",0.696048
"[10291755894, 8173724227]",0.110712
"[8173724208, 8173724226]",0.591316
"[8173724220, 5707054202]",0.760625
"[8173724220, 8173724207]",0.244612
"[6662289408, 5707054202]",2.330745
"[6662289409, 98009340]",0.0
"[6662289410, 421501417]",1.634797
"[6662289410, 421501417]",0.244612
"[8173724181, 6662289413]",0.207909
"[8173724181, 6662289413]",0.207909
"[6662289415, 98009584]",0.244612
"[6662289415, 2307408343]",1.044072
"[6662289415, 2307408343]",0.348024
"[6662289415, 2307408343]",0.244612
"[6662719073, 6662719071]",0.696048
"[8176641058, 6662719073]",0.661865
"[8176641113, 6662289416]",0.661865
"[8176641111, 8176641045]",0.330933
"[6662289417, 98010927]",1.150205
"[8176641070, 6662289417]",0.531434
"[6662289417, 5706922875]",0.454885
"[6662289418, 2367214446]",0.591316
"[8176641107, 6662289418]",0.235549
"[6662289418, 98010928]",1.044072
"[8194665234, 11033808566]",16.145577
"[8176641069, 8176641068]",18.24052
"[8176641068, 8176641067]",16.074099
"[11033808551, 11111610702]",11.778304
"[8176641082, 5704289462]",0.0
"[8178544844, 98012404]",1.257128
"[6651547074, 98044324]",0.799898
"[11505302894, 10149108573]",0.103955
"[10149108571, 98043908]",0.531434
"[5703662583, 6647027045]",0.661865
"[6647027046, 98044325]",0.661865
"[6647027046, 98044325]",0.661865
"[8909952769, 2218033247]",0.330933
"[8909952769, 2218033247]",0.103955
"[317807041, 8909952759]",0.103955
"[8909952759, 6648113972]",0.633478
"[98044691, 6648113973]",2.985883
"[6648113974, 98044691]",2.541456
"[98044691, 6648113973]",2.985883
"[103010952, 81794043]",0.235549
"[103010952, 81794043]",0.235549
"[321989159, 6648206004]",0.244612
"[321989159, 6648206004]",0.244612
"[103012143, 6648206006]",1.026947
"[6648188683, 103011372]",0.391842
"[322505298, 6650625744]",0.0
"[6650625743, 75619046]",0.151867
"[6650625743, 75619046]",0.151867
"[6650625743, 75619046]",0.151867
"[6650625743, 75619046]",0.151867
"[6650625742, 6644455601]",0.110712
"[1497570445, 75618721]",0.415819
"[1748253600, 6651101877]",4.107206
"[1497570444, 1748253600]",0.244612
"[6644554184, 1497570444]",0.151867
"[11304264852, 11304890243]",3.184196
"[6644554184, 1497570444]",0.151867
"[11465167155, 1497570444]",2.878509
"[11465167155, 11336026501]",0.94212
"[11336026503, 11336026494]",2.017069
"[10584029098, 11323279301]",1.324853
"[10583987404, 75617762]",3.202355
"[6644368696, 5405026120]",0.442848
"[10584029005, 10584029022]",0.851843
"[5405026116, 2218313051]",3.145145
"[2218313051, 10142034276]",2.997072
"[2218313053, 75617763]",1.25236
"[2218313053, 75617763]",3.333912
"[2218313053, 75617763]",3.333912
"[10583987401, 5701485503]",0.221424
"[11348293011, 309642117]",0.221424
"[5405026114, 309597644]",1.574963
"[5405026114, 309597635]",1.25236
"[5703662589, 309597635]",0.633478
"[5703662589, 309597635]",0.633478
"[10555858431, 8184606185]",3.047039
"[10555858433, 8184606185]",0.0
"[8184606185, 8184606187]",0.633478
"[5857305437, 75617751]",0.86061
"[5857305437, 75617751]",0.760625
