nodes,distance
"[6644523700, 309601293]",3.112705
"[6644523700, 309601293]",3.112705
"[6644523701, 309601293]",2.024176
"[6644523701, 309601293]",2.024176
"[11336026485, 1497570422]",0.633478
"[11336026486, 75617760]",2.182633
"[11314900772, 11336019767]",3.261254
"[6644554184, 1497570444]",0.151867
"[1497570444, 1748253600]",0.244612
"[1497570444, 1748253600]",0.244612
"[1748253600, 6651101877]",4.107206
"[1497570445, 75618721]",0.415819
"[969250589, 6644455600]",0.633478
"[969250589, 11817792742]",0.760625
"[969250589, 11817792742]",0.760625
"[969250589, 81795094]",0.235549
"[6045788911, 6668103977]",0.0
"[6668103977, 81795093]",1.46039
"[6668103970, 6668103976]",1.654663
"[6668103970, 6668103976]",1.654663
"[6668090144, 84784225]",0.103955
"[11804234601, 610740401]",0.799898
"[6579567132, 317968564]",1.75289
"[6579567132, 317968564]",0.391842
"[11674586287, 2499827589]",0.733836
"[2499827589, 317968546]",2.783333
"[103017228, 6638887042]",3.238042
"[308714676, 6684845257]",0.221424
"[6684845256, 103021977]",2.769749
"[8299505457, 103021977]",1.660678
"[6600775475, 8299505457]",0.553559
"[8299505459, 8299505458]",0.103955
"[8299505459, 6578450837]",0.0
"[103020672, 6638194062]",0.591316
"[103020673, 6638194059]",0.391842
"[6638194057, 103020400]",0.455602
"[8299485970, 8299485969]",0.455602
"[8299485972, 6676171318]",0.60747
"[8299485972, 6676171318]",0.0
"[8299485978, 6672597042]",0.833945
"[8299485978, 6672597042]",0.0
"[8299485978, 103020182]",1.063072
"[8299485974, 103020182]",0.532184
"[6672595836, 6672465614]",1.091317
"[6672595836, 6672465614]",1.091317
"[5689361625, 6672465614]",0.151867
"[6672595834, 5689361625]",0.455602
"[5689361624, 6672465612]",0.151867
"[8299486005, 2072109269]",0.303735
"[8299486002, 103019051]",0.330933
"[8299505835, 6672595832]",0.802387
"[6672595832, 2072109213]",0.802387
"[6672595830, 6672302752]",0.348024
"[6672474234, 6672302752]",0.221424
"[8299505837, 6672474234]",0.221424
